"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"Mensuration is the branch of mathematics that deals with:","Algebraic expressions","Measuring geometric figures","Solving equations","Probability","b","class6-intro-mensuration","Mensuration specifically involves the measurement of geometric figures. This includes calculating lengths (perimeter), areas, and volumes of 2D and 3D shapes."
"If you need to know how much fencing is required for a garden, what do you calculate?","Area","Perimeter","Volume","Weight","b","class6-perimeter-basics","Fencing goes around the boundary of a shape. The total length of the boundary is called the perimeter. Therefore, the amount of fencing needed is determined by the perimeter."
"What is the perimeter of a rectangle with length 8 cm and breadth 5 cm?","13 cm","26 cm","40 cm","80 cm","b","class6-perimeter-basics","The perimeter of a rectangle is given by P = 2 × (Length + Breadth). Here, P = 2 × (8 cm + 5 cm) = 2 × 13 cm = 26 cm."
"What is the area of a square with a side length of 6 cm?","12 cm²","24 cm²","36 cm²","48 cm²","c","class6-area-basics","The area of a square is calculated as Side × Side or Side². For a side of 6 cm, Area = 6 cm × 6 cm = 36 cm²."
"In a triangle, the 'height' is defined as:","The length of the longest side","The perpendicular distance from a vertex to the opposite side (base)","The sum of all three sides","The distance around the triangle","b","class6-height-vs-side","The height (or altitude) of a triangle is the perpendicular distance from a vertex to the line containing the opposite side (the base). It forms a 90-degree angle with the base."
"What is the key difference between the units for perimeter and area?","Perimeter uses cubic units, area uses square units","Perimeter uses linear units (cm, m), area uses square units (cm², m²)","Perimeter uses square units, area uses linear units","They use the same units","b","class6-perimeter-area-comparison","Perimeter is a one-dimensional measure of length, so its units are linear (e.g., cm, m). Area is a two-dimensional measure of surface coverage, so its units are square (e.g., cm², m²)."
"How many square centimeters (cm²) are there in 1 square meter (m²)?","100","1,000","10,000","100,000","c","class6-measurement-units","Since 1 m = 100 cm, 1 m² = 1 m × 1 m = 100 cm × 100 cm = 10,000 cm²."
"A rectangular room is 5 m long and 4 m wide. How many square tiles of side 0.5 m are needed to cover the floor?","20","40","60","80","d","class6-practical-problems","Room area = Length × Breadth = 5 m × 4 m = 20 m². Area of one tile = 0.5 m × 0.5 m = 0.25 m². Number of tiles = Room Area / Tile Area = 20 m² / 0.25 m² = 80 tiles."
"What is the circumference of a circle with a radius of 7 cm? (Take π = 22/7)","22 cm","44 cm","88 cm","154 cm","b","class7-circle-basics","Circumference C = 2πr. Given r = 7 cm and π = 22/7, C = 2 × (22/7) × 7 = 2 × 22 = 44 cm."
"What is the area of a circle with a radius of 10 cm? (Take π = 3.14)","31.4 cm²","62.8 cm²","314 cm²","628 cm²","c","class7-area-of-circle","Area of a circle A = πr². Given r = 10 cm, A = 3.14 × (10 cm)² = 3.14 × 100 cm² = 314 cm²."
