"question","option1","option2","option3","option4","correct_option","subtopic_id","correct_answer_logic"
"In a class picnic basket, there are 12 apples and 8 oranges. What is the SIMPLIFIED ratio of apples to oranges?","4:3","3:2","12:8","2:3","b","class6-ratio-definition","The ratio is Apples:Oranges = 12:8. To simplify, find the highest number that divides both 12 and 8, which is 4. Divide both sides by 4: 12 ÷ 4 = 3 and 8 ÷ 4 = 2. Therefore, the simplified ratio is **3:2**. This means for every 3 apples, there are 2 oranges."
"Which of the following is a REAL-WORLD example of a ratio?","The speed of a car","The recipe for lemonade saying 'mix 2 parts lemon juice to 5 parts water'","The perimeter of a square","The weight of a bag","b","class6-ratio-definition","A ratio compares two quantities. A recipe stating '2 parts lemon juice to 5 parts water' directly compares the amounts of two ingredients, making it a ratio. Speed is a rate (distance/time), perimeter is a single measurement, and weight is a single quantity. Ratios express the relationship between two different things."
"Riya has 15 marbles and 10 stickers. How can she express the ratio of marbles to stickers?","15 to 10","10:15","10/15","15 over 10","a","class6-ratio-notation","The ratio should be in the order asked: marbles to stickers, which is 15 to 10. Ratios can be written in three ways: colon form (15:10), word form (**15 to 10**), or fraction form (15/10). Option D ('15 over 10') is informal. The key is maintaining the correct order of the quantities being compared."
"The ratio 5:10 can also be written as:","10 to 5","1 to 2","2/1","5/1","b","class6-ratio-notation","The ratio 5:10 can be simplified. The highest common factor of 5 and 10 is 5. Dividing both sides by 5 gives 1:2. In word form, this is '1 to 2'. The other options either reverse the order (10:5 or 2/1) or do not represent the same simplified relationship."
"Which of these is an EQUIVALENT ratio to 3:4?","6:7","9:12","4:3","12:16","b","class6-equivalent-ratios","Equivalent ratios represent the same relationship. To check, see if you can multiply both parts of the original ratio (3:4) by the same number to get the new ratio. For 9:12, multiply 3 and 4 by 3 (3*3=9, 4*3=12). This works. 6:7 does not work (3*2=6, but 4*2=8, not 7). 4:3 is the reverse order. 12:16 also works (multiply by 4), but 9:12 is the correct choice here."
"To simplify the ratio 18:24, what is the first step?","Add 18 and 24","Find the HCF of 18 and 24","Find the LCM of 18 and 24","Convert to a decimal","b","class6-simplifying-ratios","The first step in simplifying a ratio is to find the Highest Common Factor (HCF) of the two numbers. The HCF is the largest number that divides both numbers evenly. For 18 and 24, the HCF is 6. You then divide both sides of the ratio by this number to get the simplified form: 18÷6=3, 24÷6=4, resulting in 3:4."
"Before simplifying the ratio 2 hours : 30 minutes, what must you do?","Add them","Subtract them","Convert to the same unit","Find the average","c","class6-simplifying-ratios","You cannot simplify a ratio with different units. The first step is to convert both quantities to the same unit. Convert 2 hours to minutes (2 * 60 = 120 minutes). Now the ratio is 120 minutes : 30 minutes. You can then simplify it by finding the HCF of 120 and 30, which is 30, giving a simplified ratio of 4:1."
"Which of these is a game where you might PRACTICE ratios?","Treasure Hunt for equivalent ratios","Spelling Bee","Long Jump","History Quiz","a","class6-ratio-games-practice","A 'Treasure Hunt for equivalent ratios' is an activity designed specifically to practice identifying ratios that represent the same relationship (e.g., 2:3, 4:6, 6:9). This turns the learning objective into an interactive game. The other activities do not focus on the mathematical concept of ratios."
"In the 'Ratio Monsters' drawing challenge, if a monster has Eyes:Legs = 2:8, how many legs should it have if it has 4 eyes?","4 legs","8 legs","12 legs","16 legs","d","class6-hands-on-activities","The ratio Eyes:Legs = 2:8 simplifies to 1:4 (divide both by 2). This means for every 1 eye, there are 4 legs. If the monster has 4 eyes, the number of legs is 4 eyes * 4 legs per eye = 16 legs. The challenge involves using the given ratio to determine a missing quantity."
"You have 2 cups of lemon juice and 8 cups of water for lemonade. What is the simplified ratio of juice to water?","1:2","1:4","2:8","4:1","b","class6-hands-on-activities","The ratio is Juice:Water = 2:8. The highest common factor of 2 and 8 is 2. Dividing both sides by 2 gives 1:4. Therefore, the simplified ratio of lemon juice to water is 1:4. This means for every 1 part juice, there are 4 parts water."
"Two paint mixtures are proportional. Mixture A is 3 cups blue to 5 cups yellow. Which mixture is proportional to A?","6 cups blue to 8 cups yellow","9 cups blue to 15 cups yellow","5 cups blue to 3 cups yellow","1 cup blue to 2 cups yellow","b","class6-proportion-definition","For two ratios to be proportional, they must be equal. The ratio for Mixture A is 3:5. Check if you can multiply both parts of 3:5 by the same number to get the new ratio. For 9:15, multiply 3 and 5 by 3 (3*3=9, 5*3=15). This works. 6:8 simplifies to 3:4, not 3:5. 5:3 is the reverse order."
